spaceId	spaceName
7019	6楼东157
7020	6楼东158
7021	6楼东159
7022	6楼东160
7023	6楼东161
7024	6楼东162
7025	6楼东163
7026	6楼东164
7027	6楼东165
7028	6楼东166
7029	6楼东167
7030	6楼东168
7031	6楼东169
7032	6楼东170
7033	6楼东171
7034	6楼东172
7035	6楼东173
7036	6楼东174
7037	6楼东175
7038	6楼东176
7039	6楼东177
7040	6楼东178
7041	6楼东179
7042	6楼东180
7043	6楼东181
7044	6楼东182
7045	6楼东183
7046	6楼东184
7047	6楼东185
7048	6楼东186
7049	6楼东187
7050	6楼东188
7051	6楼东189
7052	6楼东190
7053	6楼东191
7054	6楼东192
7055	6楼东193
7056	6楼东194
7057	6楼东195
7058	6楼东196
7059	6楼东197
7060	6楼东198
7061	6楼东199
7062	6楼东200
7063	6楼东201
7064	6楼东202
7065	6楼东203
7066	6楼东204
7067	6楼东205
7068	6楼东206
7069	6楼东207
7070	6楼东208
7071	6楼东209
7072	6楼东210
7073	6楼东211
7074	6楼东212
7075	6楼东213
7076	6楼东214
7077	6楼东215
7078	6楼东216
7079	6楼东217
7080	6楼东218
7081	6楼东219
7082	6楼东220
7083	6楼东221
7084	6楼东222
7085	6楼东223
7086	6楼东224
7087	6楼东225
7088	6楼东226
7089	6楼东227
7090	6楼东228
7091	6楼东229
7092	6楼东230
7093	6楼东231
7094	6楼东232
7095	6楼东233
7096	6楼东234
7097	6楼东235
7098	6楼东236
7099	6楼东237
7100	6楼东238
7101	6楼东239
7102	6楼东240
7103	6楼东241
7104	6楼东242
7105	6楼东243
7106	6楼东244
7107	6楼东245
7108	6楼东246
7109	6楼东247
7110	6楼东248
7111	6楼东249
7112	6楼东250
7113	6楼东251
7114	6楼东252
7115	6楼东253
7116	6楼东254
7117	6楼东255
7118	6楼东256
7119	6楼东257
7120	6楼东258
7121	6楼东259
7122	6楼东260
7123	6楼东261
7124	6楼东262
7125	6楼东263
7126	6楼东264
7127	6楼东265
7128	6楼东266
7129	6楼东267
7130	6楼东268
7131	6楼东269
7132	6楼东270
7133	6楼东271
7134	6楼东272
7135	6楼东273
7136	6楼东274
7137	6楼东275
7138	6楼东276
7139	6楼东277
7140	6楼东278
7141	6楼东279
7142	6楼东280
7143	6楼东281
7144	6楼东282
7145	6楼东283
7146	6楼东284
7147	6楼东285
7148	6楼东286
7149	6楼东287
7150	6楼东288
7151	6楼东289
7152	6楼东290
7153	6楼东291
7154	6楼东292
7155	6楼东293
7156	6楼东294
7157	6楼东295
7158	6楼东296
